villa,cysti,sero,seroInc,THFinalRound,seroInc1,seroInc2,seroInc3,seroInc4,seroInc5,seroInc6,seroInc7
563,na,0.5,0.593,0.0022,0.593023256,0.26984127,0.168421053,0.2,0.280991736,0.209459459,0.211678832
570,na,0.234,0.11,0,0.111111111,0.2,0.038461538,0.076923077,0.111111111,0.181818182,0.033333333
571,na,0.073,0.037,0,0.037037037,0,0.166666667,0.071428571,0.064516129,0.130434783,0
572,na,0.238,0.271,0.006,0.270833333,0.188405797,0.144230769,0.12173913,0.234285714,0.188405797,0.058823529
573,na,0.296,0.136,0.0035,0.136363636,0.184210526,0.075757576,0.118421053,0.125,0.053435115,0.072289157
574,na,0.714,na,0,#NUM!,#NUM!,0.5,0,0,0.285714286,#NUM!
575,na,0.382,0.412,0.0068,0.411764706,0.333333333,0.227272727,0.338709677,0.142857143,0.147727273,0.23880597
576,na,0.392,0.315,0.0055,0.314814815,0.181818182,0.121495327,0.132653061,0.162162162,0.160839161,0.113636364
577,na,0.345,0.556,0.0105,0.558823529,0.235294118,0.066666667,0.216216216,0.134020619,0.16,0.064516129
578,na,0.458,0.333,0,0.333333333,0.272727273,0.055555556,0.173913043,0.02,0.052083333,0.052631579
579,na,0.613,0.727,0.0427,0.727272727,0.270833333,0.147058824,0.345454545,0.348484848,0.139784946,0.301204819
580,na,0.462,0.442,0.0151,0.441860465,0.24,0.444444444,0.276315789,0.226890756,0.265306122,0.142857143
581,na,0.252,0.053,0.0048,0.052631579,0.222222222,0.094117647,0.106060606,0.177419355,0.101449275,0.037037037
582,na,0.44,0.542,0.0034,0.542372881,0.516666667,0.319587629,0.28,0.272,0.204724409,0.125925926
583,na,0.438,0.5,0.0053,0.5,0.45,0.394736842,0.193548387,0.322580645,0.181818182,0.2
584,na,0.517,0.588,0.0096,0.588235294,0.5625,0.392857143,0.322580645,0.145454545,0.125,0.072727273
585,na,0.458,0.5,0,0.5,0.333333333,0.583333333,0.318181818,0.366666667,0.233333333,0.451612903
586,na,0.375,0.33,0.0053,0.333333333,0.2,0.526315789,0.318181818,0.2,0.275,0.212765957
587,na,0.52,0.783,0.0074,0.782608696,0.352941176,0.447368421,0.2,0.12195122,0.192307692,0.070175439
588,na,0.554,0.559,0.0212,0.559139785,0.4625,0.482142857,0.358024691,0.350746269,0.25974026,0.2
589,na,0.144,0.189,0.0039,0.189189189,0,0.130434783,0.057692308,0.064516129,0.074766355,0.037735849
590,na,0.529,0.5,0.0086,0.5,0.238095238,0.311688312,0.074766355,0.163461538,0.307189542,0.252336449
591,na,0.32,0.25,0.0173,0.25,0.222222222,0.125,0.12962963,0.079365079,0.093333333,0.140495868
